,text,label,group,IF,TRAK
0,i know before nixon is what just whites and blacks and asians somebody decided they had to be grouped like they were special,0,African,0.5085468,0.00012195
1,it one of the bits of ghetto slang that has entered internet slang through the medium of irony og original gangster just read it as original,0,African,2.6325765,9.16e-05
2,<user> bro you was telling me that you want a white women to tie you up and call you nigger 🤕,0,African,-0.722463,6.235e-05
3,blocked that nigga i do not need my morning ruined,0,African,-5.276791,0.00011235
4,people dont feel comfortable telling blacks hispanics that they are acting black hispanic because they will be admonished at best or assaulted at worst whites and asians just bend over and take it though when people insult them as acting white asian whites and asians rarely defend themselves,0,African,1.0019027,-0.000173
5,<user> <user> drag this nigger for filth honey,0,African,-6.0122285,-0.0003107
6,<user> how do groups of people take derogatory terms and reinvent them into positive ones like nigga and queer,0,African,2.5737617,-9.8e-06
7,we have a plague of somali and sudanese terrorising whole suburbs of melbourne victoria and the police say there is no african gang problem but a youth problem these are the same idiots who think there is no muslim terrorist problem they hide their identity because they are afraid,0,African,-1.7476931,0.0001485
8,all these niggas makin babies i jus wanna make a million 🎖,0,African,-2.181352,-7.81e-05
9,everything is rapidly devolving from ghetto rap noise to ghetto fabulous beauty standards emphasis being on woman backside instead on her face and full figure so bbc ghetto language news service is nothing so very surprising although i must admit i thought it was a joke at first,0,African,0.9019128,-4.184e-05
10,if you are a white lady who ready to call me a nigger but in a loving way hit me up ❤️,0,African,-7.830615,0.0003536
11,<user> lmfao fucking hate you nigga,0,African,0.9556124,7.02e-05
12,cool i see white people having babies with asians and blacks at this moment,0,African,0.7487426,2.15e-06
13,wore a nipsey blue suit today only the niggers in the work place feel the energy 🏁 💙,0,African,-6.3873262,0.0002637
14,bampumim teixeira an immigrant from west africa,0,African,0.55902815,-4.36e-05
15,so i got called a nappy headed nigger jew 🤣 🤣 🤣,0,African,-5.830092,0.000179
16,yes bpd borderline personality disorder mothers destroy their sons paul is very much a leftist he does not accept the different roles of men and women and there it is a white man dares to argue with a white woman and she ready to be bred by blacks and arabs fantastic,0,African,-0.4255253,-0.0001087
17,niggas really sending packages to my house for my birthday and idek who sending em,0,African,-0.29691234,-1.56e-05
18,<user> real nigga ong 😪,0,African,1.6072311,-6.74e-05
19,<user> i ’ m not playing he ghetto as shit 😂 then why around there 💀,0,African,1.1901631,1.186e-05
20,she know a nigga be stuntin like a power ranger 💫,0,African,1.1909587,-4.73e-05
21,first pills lean weed rollin niggers,0,African,-3.3770597,-0.0005608
22,actually yes there were irish slaves in america mostly women and girls who were allowed to work in the manors as opposed to the fields they were also forced to have sex with the negro slaves this is why many african americans today have irish or english scottish blood in them,0,African,0.24727876,1.025e-05
23,<user> rules are rules leave the ghetto at the door when you walk in,0,African,3.330736,3.61e-05
24,since i been at this school you niggers have never not complained about the homecoming artist give it up,0,African,-4.6563525,-0.0005245
25,liberal progress was bringing down a white democracy that provided safety and protection for all citizens using boycotts they caused mandella to be leader of south africa communist and terrorist today a is rape capital on earth woman raped every <number> min a liberal success story,0,African,3.2234077,0.0001067
26,<user> white christian civilization is the most welcoming of others unlike blacks asians muslims,0,African,0.38318706,3.046e-05
27,maybe but you get them in all races our biggest problem is white underclass like this you need to educate africa to our standards without their whinging about slavery racism making no effort etc then measure it to know for sure,0,African,2.6495347,3.04e-05
28,certainly a white ethnostate would permit no blacks asians hispanics or arabs,0,African,-0.1382472,0.0001081
29,i need a nigga too love me when i got attitude not catch one cause i ’ m mad 🤨,0,African,1.3555586,6.46e-05
